"date","confirm"
2020-02-22,14
2020-02-23,62
2020-02-24,53
2020-02-25,97
2020-02-26,93
2020-02-27,78
2020-02-28,250
2020-02-29,238
2020-03-01,240
2020-03-02,561
2020-03-03,347
2020-03-04,466
2020-03-05,587
2020-03-06,769
2020-03-07,778
2020-03-08,1247
2020-03-09,1492
2020-03-10,1797
2020-03-11,977
2020-03-12,2313
2020-03-13,2651
2020-03-14,2547
2020-03-15,3497
2020-03-16,2823
2020-03-17,4000
2020-03-18,3526
2020-03-19,4207
2020-03-20,5322
2020-03-21,5986
2020-03-22,6557
2020-03-23,5560
2020-03-24,4789
2020-03-25,5249
2020-03-26,5210
2020-03-27,6153
2020-03-28,5959
2020-03-29,5974
2020-03-30,5217
2020-03-31,4050
2020-04-01,4053
2020-04-02,4782
2020-04-03,4668
2020-04-04,4585
2020-04-05,4805
2020-04-06,4316
2020-04-07,3599
2020-04-08,3039
2020-04-09,3836
2020-04-10,4204
2020-04-11,3951
2020-04-12,4694
2020-04-13,4092
2020-04-14,3153
2020-04-15,2972
2020-04-16,2667
2020-04-17,3786
2020-04-18,3493
2020-04-19,3491
2020-04-20,3047
2020-04-21,2256
